Combination,Count
"('BRAKE ROTOR', 'BRAKE CALIPER BIG')",46
"('BUMPER  STEEL', 'BRACKET ANY')",46
"('BUMPER  STEEL', 'POWER MIRROR -DOOR')",46
"('INNER FENDER', 'TAIL LIGHT EACH')",46
"('HOOD', 'FOG LAMP')",46
"('A/C CONDENSER', 'GRILL ANY')",45
"('MISC.', 'TAIL LIGHT EACH')",45
"('GRILL SMALL', 'FENDER CAR')",45
"('BRACKET ANY', 'HEADLAMP COMPOSITE')",45
"('ALTERNATOR', 'STARTER')",45
"('MOLDING ANY', 'TAIL LIGHT EACH')",44
"('MOLDING ANY', 'HEADLAMP COMPOSITE')",44
"('MOLDING ANY', 'MISC.')",44
"('FENDER CAR', 'FAN ELECTRIC')",44
"('POWER MIRROR -DOOR', 'MOLDING EXTERIOR(19 PER INCH)')",44
"('INNER FENDER', 'BUMPER REINFORCEMENT')",44
"('POWER STEERING PUMP', 'A/C COMPRESSOR')",43
"('BUMPER FILLER', 'BUMPER REINFORCEMENT')",43
"('SEAT BUCKET MANUAL', 'CARPET')",43
"('BUMPER FILLER', 'HEADLAMP COMPOSITE')",43
"('STRUT AND SPRING', 'SPINDLE /KNUCKLE')",43
"('BRAKE MASTER CYLINDER', 'OVERFLOW BOTTLE')",43
"('BRACKET ANY', 'BUMPER REINFORCEMENT')",42
"('HOOD', 'POWER MIRROR -DOOR')",42
"('MOLDING EXTERIOR(19 PER INCH)', 'FLOOR MAT/SPARE TIRE COVER')",42
"('LATCH', 'RADIATOR SUPPORT BARE')",42
"('BRAKE ROTOR (NO HUB)', 'KNUCKLE/ SPINDLE')",42
"('BRACKET ANY', 'RADIATOR')",42
"('DOOR CAR', 'STRUT AND SPRING')",41
"('C-V AXLE FRONT  DRIVE', 'SPINDLE /KNUCKLE')",41
"('RADIATOR SUPPORT BARE', 'WASHER BOTTLE')",41
"('LATCH', 'HOOD')",41
"('WIPER ARM', 'WIPER BLADE')",41
"('TAIL LIGHT EACH', 'RADIATOR')",41
"('MOLDING EXTERIOR(19 PER INCH)', 'VENT (INTERIOR)')",41
"('BUMPER  STEEL', 'MISC.')",41
"('INNER FENDER', 'STRUT AND SPRING')",40
"('INNER FENDER', 'GRILL ANY')",40
"('AC CONTROL (ELEC.)', 'RADIO')",40
"('INNER FENDER', 'RADIATOR')",40
"('A/C CONDENSER', 'LATCH')",40
"('MISC.', 'HEADLAMP COMPOSITE')",40
"('HOOD', 'BUMPER PLASTIC')",40
"('LATCH', 'HEADLAMP COMPOSITE')",39
"('DOOR CAR', 'INNER FENDER')",39
"('BUMPER  STEEL', 'SEAT BUCKET MANUAL')",39
"('STARTER', 'A/C COMPRESSOR')",39
"('HOOD', 'WASHER BOTTLE')",39
"('HOOD', 'BRACKET ANY')",39
"('BRAKE CALIPER BIG', 'HUB BEARING')",38
"('HUB CAP/WHEEL COVER', 'MOLDING EXTERIOR(19 PER INCH)')",38
"('SEAT BELT (EACH)', 'SEAT BELT PRETENSIONER')",38
"('RADIO', 'MISC.')",38
"('CONTROL ARM', 'SHOCK')",38
"('HUB CAP/WHEEL COVER', 'TIRE 13-16')",38
"('MOLDING EXTERIOR(19 PER INCH)', 'SUN VISOR')",37
"('MOLDING ANY', 'VENT (INTERIOR)')",37
"('A/C CONDENSER', 'BRACKET ANY')",37
"('TIRE 13-16', 'STRUT AND SPRING')",37
"('HOSE(.15 PER INCH)', 'RADIATOR')",36
"('FLOOR MAT/SPARE TIRE COVER', 'MISC.')",36
"('TIRE 13-16', 'HEADLAMP COMPOSITE')",36
"('MOLDING EXTERIOR(19 PER INCH)', 'WINDOW MOTOR')",36
"('INSTRUMENT CLUSTER', 'INSTRUMENT CLUSTER BEZEL')",36
"('A/C COMPRESSOR', 'RADIATOR')",36
"('MOLDING EXTERIOR(19 PER INCH)', 'STRUT AND SPRING')",36
"('TRIM/ FLARES', 'TAIL LIGHT EACH')",36
"('STRUT AND SPRING', 'TAIL LIGHT EACH')",36
"('STEERING WHEEL', 'AIR BAG (EACH)')",36
"('HUB CAP/WHEEL COVER', 'WHEEL STEEL')",36
"('HOOD', 'MOLDING ANY')",35
"('BUMPER  STEEL', 'TIRE 13-16')",35
"('HOOD', 'FAN ELECTRIC (DUAL)')",35
"('FOG LAMP', 'MOLDING EXTERIOR(19 PER INCH)')",35
"('BRAKE CALIPER BIG', 'SPINDLE /KNUCKLE')",35
"('RADIATOR BOTTLE', 'HEADLAMP COMPOSITE')",35
"('ENGINE ANY', 'ALTERNATOR')",35
"('MOLDING ANY', 'FENDER CAR')",35
"('RADIATOR BOTTLE', 'RADIATOR SUPPORT BARE')",35
"('RADIO FACE', 'VENT (INTERIOR)')",34
"('HOSE(.15 PER INCH)', 'MOLDING EXTERIOR(19 PER INCH)')",34
"('LATCH', 'RADIATOR')",34
"('CONTROL ARM', 'HEADLAMP COMPOSITE')",34
"('MOLDING EXTERIOR(19 PER INCH)', 'GRILL ANY')",34
"('BUMPER  STEEL', 'PARK/TURNLAMP ASSY')",34
"('TAIL LIGHT EACH', 'BUMPER REINFORCEMENT')",34
"('HOSE(.15 PER INCH)', 'MOLDING ANY')",34
"('BUMPER  STEEL', 'STRUT AND SPRING')",34
"('DOOR HANDLE OUTSIDE', 'MOLDING EXTERIOR(19 PER INCH)')",33
"('DOOR CAR', 'MOLDING EXTERIOR(19 PER INCH)')",33
"('ENGINE ANY', 'POWER STEERING PUMP')",33
"('INNER FENDER', 'WASHER BOTTLE')",33
"('BRAKE ROTOR (NO HUB)', 'STRUT AND SPRING')",33
"('ENGINE ANY', 'A/C COMPRESSOR')",33
"('INNER FENDER', 'MOLDING ANY')",33
"('PARK/TURNLAMP ASSY', 'GRILL ANY')",33
"('FLOOR MAT/SPARE TIRE COVER', 'TAIL LIGHT EACH')",33
"('RADIATOR BOTTLE', 'BUMPER  STEEL')",33
"('BRAKE ROTOR (NO HUB)', 'BRAKE CALIPER S')",33
"('A/C CONDENSER', 'A/C COMPRESSOR')",33
"('DOOR CAR', 'CONTROL ARM')",32
"('MOLDING EXTERIOR(19 PER INCH)', 'INSTRUMENT CLUSTER BEZEL')",32
"('FENDER CAR', 'HUB BEARING')",32
"('WINDOW REGULATOR', 'MOLDING EXTERIOR(19 PER INCH)')",32
"('HOOD', 'BUMPER FILLER')",32
"('BRAKE ROTOR', 'HUB BEARING')",32
"('LATCH', 'FENDER CAR')",32
"('HEAD LINER', 'SUN VISOR')",32
"('AC CONTROL (ELEC.)', 'MOLDING EXTERIOR(19 PER INCH)')",32
"('INNER FENDER', 'TRIM/ FLARES')",32
"('RADIATOR BOTTLE', 'HOOD')",32
"('POWER STEERING PUMP', 'STARTER')",32
"('WASHER BOTTLE', 'BUMPER REINFORCEMENT')",32
"('A/C COMPRESSOR', 'MISC.')",32
"('A/C CONDENSER', 'RADIATOR BOTTLE')",31
"('GATE FEE', 'HEADLAMP COMPOSITE')",31
"('AIR FLOW METER', 'AIR CLEANER HOUSING')",31
"('MOLDING ANY', 'RADIATOR')",31
"('BUMPER  STEEL', 'AIR BAG (EACH)')",31
"('FENDER CAR', 'KNUCKLE/ SPINDLE')",31
"('GRILL ANY', 'FAN ELECTRIC')",31
"('BRAKE ROTOR (NO HUB)', 'CONTROL ARM')",31
"('TIRE 13-16', 'MOLDING EXTERIOR(19 PER INCH)')",31
"('ALTERNATOR', 'TAIL LIGHT EACH')",31
"('BUMPER  STEEL', 'CONTROL ARM')",31
"('FAN ELECTRIC (DUAL)', 'BUMPER REINFORCEMENT')",31
"('INNER FENDER', 'CONTROL ARM')",31
"('A/C CONDENSER', 'WASHER BOTTLE')",31
"('POWER MIRROR -DOOR', 'MISC.')",30
"('LATCH', 'MOLDING EXTERIOR(19 PER INCH)')",30
"('FOG LAMP', 'BUMPER PLASTIC')",30
"('A/C CONDENSER', 'MOLDING EXTERIOR(19 PER INCH)')",30
"('A/C CONDENSER', 'INNER FENDER')",30
"('TIRE 13-16', 'MISC.')",30
"('CONSOLE (ANY)', 'MOLDING EXTERIOR(19 PER INCH)')",30
"('BUMPER  STEEL', 'WASHER BOTTLE')",30
"('BUMPER PLASTIC', 'GRILL SMALL')",30
"('STRUT AND SPRING', 'SHOCK')",30
"('TRANSMISSION ANY', 'A/C COMPRESSOR')",30
"('SEAT BUCKET MANUAL', 'CONSOLE LID')",30
"('INSTRUMENT CLUSTER', 'BUMPER  STEEL')",30
"('WEATHER STRIPPING (.79 PER FT.)', 'MOLDING ANY')",29
"('CONTROL ARM', 'TAIL LIGHT EACH')",29
"('MOLDING EXTERIOR(19 PER INCH)', 'RADIO')",29
"('WASHER BOTTLE', 'MISC.')",29
"('RADIATOR SUPPORT BARE', 'FAN ELECTRIC (DUAL)')",29
"('POWER MIRROR -DOOR', 'SUN VISOR')",29
"('INSTRUMENT CLUSTER', 'MOLDING EXTERIOR(19 PER INCH)')",29
"('OIL COOLER', 'A/C CONDENSER')",29
"('FENDER CAR', 'MISC.')",29
"('BRACKET ANY', 'TAIL LIGHT EACH')",29
"('BRAKE ROTOR', 'CONTROL ARM')",29
"('MOLDING EXTERIOR(19 PER INCH)', 'BUMPER REINFORCEMENT')",29
"('GRILL SMALL', 'RADIATOR')",29
"('SUN VISOR', 'TAIL LIGHT EACH')",29
"('FOG LAMP', 'TAIL LIGHT EACH')",29
"('SEAT BUCKET MANUAL', 'HEADLAMP COMPOSITE')",28
"('HUB CAP/WHEEL COVER', 'TAIL LIGHT EACH')",28
"('BUMPER  STEEL', 'MOLDING ANY')",28
"('STRUT AND SPRING', 'RADIATOR')",28
"('BUMPER  STEEL', 'TAIL GATE')",28
"('DOOR CAR', 'SEAT BUCKET MANUAL')",28
"('PULLEY BARE', 'FAN BELT')",28
"('FENDER CAR', 'BUMPER FILLER')",28
"('TAIL GATE', 'TAIL LIGHT EACH')",28
"('BUMPER  STEEL', 'A/C COMPRESSOR')",28
"('INSTRUMENT CLUSTER', 'TAIL LIGHT EACH')",28
"('DOOR PANEL COMPLETE', 'MOLDING EXTERIOR(19 PER INCH)')",28
"('BUMPER PLASTIC', 'BUMPER REINFORCEMENT')",28
"('LATCH', 'BUMPER  STEEL')",28
"('HOOD', 'TRIM/ FLARES')",28
"('INSTRUMENT CLUSTER BEZEL', 'VENT (INTERIOR)')",28
"('WINDOW REGULATOR', 'TAIL LIGHT EACH')",28
"('FOG LAMP', 'GRILL SMALL')",27
"('FUSE BOX W/ RELAYS', 'COMPUTER BRAIN BOX')",27
"('SEAT BENCH', 'CARPET')",27
"('THERMOSTAT HOUSING', 'THERMOSTAT')",27
"('AIR BAG (EACH)', 'HEADLAMP COMPOSITE')",27
"('TRUNK LID NO LIGHTS', 'FENDER CAR')",27
"('A/C COMPRESSOR', 'TAIL LIGHT EACH')",27
"('GRILL SMALL', 'BUMPER REINFORCEMENT')",27
"('A/C CONDENSER', 'FAN SHROUD')",27
"('LATCH', 'BRACKET ANY')",27
"('STRUT AND SPRING', 'WASHER BOTTLE')",27
"('HUB CAP/WHEEL COVER', 'FLOOR MAT/SPARE TIRE COVER')",27
"('FENDER CAR', 'C-V AXLE FRONT  DRIVE')",27
"('HOOD', 'STRUT AND SPRING')",27
"('WASHER BOTTLE', 'TAIL LIGHT EACH')",26
"('A/C COMPRESSOR', 'FAN BELT')",26
"('INSTRUMENT CLUSTER', 'HEADLAMP COMPOSITE')",26
"('TAIL GATE', 'TRUCK BED BARE')",26
"('INNER FENDER', 'MISC.')",26
"('DOOR CAR', 'POWER MIRROR -DOOR')",26
"('STEERING WHEEL COVER', 'FLOOR MAT/SPARE TIRE COVER')",26
"('BRAKE ROTOR (NO HUB)', 'SPINDLE /KNUCKLE')",26
"('TIRE 13-16', 'TAIL LIGHT EACH')",26
"('GLOVE BOX DOOR', 'MOLDING EXTERIOR(19 PER INCH)')",26
"('BRACKET ANY', 'WASHER BOTTLE')",26
"('RADIATOR SUPPORT BARE', 'HORN')",26
"('FOG LAMP', 'BUMPER REINFORCEMENT')",26
"('STRUT AND SPRING', 'FLOOR MAT/SPARE TIRE COVER')",25
"('DOOR CAR', 'TRUNK LID NO LIGHTS')",25
"('A/C CONDENSER', 'GRILL SMALL')",25
"('POWER STEERING PUMP', 'BRACKET ANY')",25
"('MOLDING EXTERIOR(19 PER INCH)', 'TRIM/ FLARES')",25
"('ENGINE ANY', 'STARTER')",25
"('SPARE TIRE CARRIER', 'FUSE BOX (BARE)')",25
"('FAN ELECTRIC (DUAL)', 'HEADLAMP COMPOSITE')",25
"('SPEAKER TWEETER', 'STEERING WHEEL COVER')",25
"('FENDER CAR', 'SEAT BUCKET MANUAL')",25
"('AC HOSE (SINGLE)', 'A/C COMPRESSOR')",25
"('BUMPER PLASTIC', 'TAIL LIGHT EACH')",25
"('OIL COOLER', 'RADIATOR')",25
"('INSTRUMENT CLUSTER', 'TRIM/ FLARES')",25
"('BRAKE SHOE/PAD (EACH)', 'BRAKE ROTOR (NO HUB)')",25
"('WINDOW REGULATOR', 'POWER MIRROR -DOOR')",25
"('MOLDING EXTERIOR(19 PER INCH)', 'WASHER BOTTLE')",25
"('INTAKE MANIFOLD PLASTIC', 'THROTTLE BODY')",25
"('STEERING WHEEL', 'MOLDING EXTERIOR(19 PER INCH)')",25
"('INNER FENDER', 'FAN ELECTRIC')",24
"('DOOR CAR', 'BUMPER REINFORCEMENT')",24
"('SPEAKER TWEETER', 'MOLDING EXTERIOR(19 PER INCH)')",24
"('TRIM/ FLARES', 'GRILL ANY')",24
"('HUB CAP/WHEEL COVER', 'MISC.')",24
"('DOOR PANEL COMPLETE', 'SEAT BUCKET MANUAL')",24
"('WASHER BOTTLE', 'FAN ELECTRIC')",24
"('WINDOW MOTOR', 'DOOR GLASS')",24
"('BUMPER  STEEL', 'HUB CAP/WHEEL COVER')",24
"('POWER MIRROR -DOOR', 'MOLDING ANY')",24
"('FAN BLADE', 'RADIATOR')",24
"('HATCH COMPLETE', 'TAIL LIGHT EACH')",24
"('RADIATOR BOTTLE', 'INNER FENDER')",24
"('AIR BREATHER TUBE', 'AIR FILTER')",24
"('FUSE BOX (BARE)', 'EXTRA SMALL CNTRL M')",24
"('AIR BAG (EACH)', 'BUMPER REINFORCEMENT')",24
"('STEERING WHEEL COVER', 'RADIO')",24
"('ALTERNATOR', 'TRANSMISSION ANY')",24
"('RADIO BEZEL', 'VENT (INTERIOR)')",24
"('LIFT SUPPORT', 'TAIL LIGHT EACH')",24
"('GRILL ANY', 'TAIL LIGHT EACH')",24
"('HOOD', 'SEAT BUCKET MANUAL')",23
"('BUMPER  STEEL', 'GATE FEE')",23
"('HUB CAP/WHEEL COVER', 'HEADLAMP COMPOSITE')",23
"('WINDOW REGULATOR', 'DOOR GLASS')",23
"('FOG LAMP', 'INNER FENDER')",23
"('BRAKE CALIPER BIG', 'CONTROL ARM')",23
"('DOOR CAR', 'GRILL ANY')",23
"('HOOD', 'CONTROL ARM')",23
"('BRAKE ROTOR', 'STRUT AND SPRING')",23
"('RADIATOR BOTTLE', 'GRILL ANY')",23
"('A/C CONDENSER', 'TAIL LIGHT EACH')",23
"('RADIO', 'HEADLAMP COMPOSITE')",23
"('A/C COMPRESSOR', 'HEADLAMP COMPOSITE')",23
"('SEAT BELT (EACH)', 'MISC.')",23
"('BRAKE FLUID RESEVOIR', 'BRAKE POWER/HYDRO BOOSTER')",23
"('WINDOW MOTOR', 'TAIL LIGHT EACH')",23
"('AIR CLEANER HOUSING', 'WASHER BOTTLE')",23
"('MISC.', 'RADIATOR')",23
"('AIR CLEANER HOUSING', 'RADIATOR')",23
"('AIR CLEANER HOUSING', 'BUMPER REINFORCEMENT')",23
"('BRAKE CALIPER S', 'KNUCKLE/ SPINDLE')",23
"('TRUNK LID NO LIGHTS', 'HEADLAMP COMPOSITE')",23
"('TIRE 13-16', 'FENDER CAR')",23
"('SPARE TIRE CARRIER', 'SEAT BELT (EACH)')",23
"('GATE FEE', 'FENDER CAR')",23
"('MOLDING ANY', 'FLOOR MAT/SPARE TIRE COVER')",23
"('FOG LAMP', 'MOLDING ANY')",22
"('TIRE 13-16', 'CONTROL ARM')",22
"('WHEEL ALUMINUM', 'TAIL LIGHT EACH')",22
"('BUMPER  STEEL', 'WHEEL ALUMINUM')",22
"('POWER MIRROR -DOOR', 'GRILL ANY')",22
"('BRACKET ANY', 'HORN')",22
"('POWER MIRROR -DOOR', 'A/C COMPRESSOR')",22
"('COIL', 'THROTTLE BODY')",22
"('MOLDING EXTERIOR(19 PER INCH)', 'SEAT BUCKET MANUAL')",22
"('A/C COMPRESSOR', 'FAN ELECTRIC')",22
"('LATCH', 'DOOR HANDLE OUTSIDE')",22
"('AIR FLOW METER', 'AIR BREATHER TUBE')",22
"('GATE FEE', 'MOLDING EXTERIOR(19 PER INCH)')",22
"('MOLDING EXTERIOR(19 PER INCH)', 'AIR BAG (EACH)')",22
"('SUN VISOR', 'HEADLAMP COMPOSITE')",22
"('HEADLAMP COMPOSITE', 'COMPUTER BRAIN BOX')",22
"('GATE FEE', 'MISC.')",22
"('DOOR CAR', 'RADIATOR')",22
"('AIR BREATHER TUBE', 'MOLDING EXTERIOR(19 PER INCH)')",22
"('DOOR CAR', 'WASHER BOTTLE')",22
"('BRAKE ROTOR', 'KNUCKLE/ SPINDLE')",22
"('POWER MIRROR -DOOR', 'INNER FENDER')",22
"('PARK/TURNLAMP ASSY', 'FENDER CAR')",22
"('HEADERPANEL BARE', 'HEADLAMP COMPOSITE')",22
"('AIR CLEANER HOUSING', 'FENDER CAR')",22
"('MOLDING EXTERIOR(19 PER INCH)', 'WEATHER STRIPPING (.79 PER FT.)')",22
"('INSTRUMENT CLUSTER', 'HOOD')",22
"('BUMPER PLASTIC', 'RADIATOR')",22
"('PARK/TURNLAMP ASSY', 'MOLDING EXTERIOR(19 PER INCH)')",22
"('WINDOW REGULATOR', 'HEADLAMP COMPOSITE')",22
"('MOLDING EXTERIOR(19 PER INCH)', 'A/C COMPRESSOR')",22
"('LATCH', 'GRILL ANY')",22
"('INTERIOR DOOR PANEL', 'SEAT BUCKET MANUAL')",22
"('SEAT BENCH', 'CONSOLE (ANY)')",22
"('BUMPER  STEEL', 'HORN')",22
"('MOLDING ANY', 'WASHER BOTTLE')",21
"('FAN CLUTCH', 'RADIATOR')",21
"('FOG LAMP', 'RADIATOR')",21
"('HOSE(.15 PER INCH)', 'BRACKET ANY')",21
"('AIR BAG (EACH)', 'FENDER CAR')",21
"('OIL COOLER', 'RADIATOR SUPPORT BARE')",21
"('BRACKET ANY', 'CONTROL ARM')",21
"('DOOR CAR', 'MISC.')",21
"('HOOD', 'TRUNK LID NO LIGHTS')",21
"('POWER MIRROR -DOOR', 'BRACKET ANY')",21
"('JACK ANY', 'TAIL LIGHT EACH')",21
"('BUMPER  STEEL', 'HUB BEARING')",21
"('HOSE(.15 PER INCH)', 'MISC.')",21
"('FLOOR MAT/SPARE TIRE COVER', 'HEADLAMP COMPOSITE')",21
"('FAN CLUTCH', 'FAN SHROUD')",21
"('SPARE TIRE CARRIER', 'EXTRA SMALL CNTRL M')",21
"('TRUNK LID NO LIGHTS', 'SPOILER')",21
"('BRAKE ROTOR (NO HUB)', 'C-V AXLE FRONT  DRIVE')",21
"('MOLDING ANY', 'BUMPER REINFORCEMENT')",21
"('MOLDING ANY', 'FAN ELECTRIC')",21
"('BRACKET ANY', 'MOLDING ANY')",21
"('INTERIOR DOOR PANEL', 'MOLDING EXTERIOR(19 PER INCH)')",21
"('MIRROR INTERIOR MANUAL', 'MOLDING EXTERIOR(19 PER INCH)')",21
"('AC CONTROL (ELEC.)', 'VENT (INTERIOR)')",21
"('LATCH', 'HORN')",21
"('MOLDING EXTERIOR(19 PER INCH)', 'INTERIOR DOOR  HANDLE')",21
"('WIRE PIGTAIL', 'MOLDING EXTERIOR(19 PER INCH)')",21
